Obervation times [Ingress Egress] --- UTC (MST is UTC - 6)
['2018-09-06 07:08:59.117' '2018-09-06 10:15:35.837']
['2018-09-19 04:45:03.782' '2018-09-19 07:51:40.502']
['2018-09-21 08:21:04.560' '2018-09-21 11:27:41.280']
['2018-10-04 05:57:09.226' '2018-10-04 09:03:45.946']
['2018-10-17 03:33:13.891' '2018-10-17 06:39:50.611']
['2018-10-19 07:09:14.669' '2018-10-19 10:15:51.389']
['2018-11-01 04:45:19.334' '2018-11-01 07:51:56.054']
['2018-11-03 08:21:20.112' '2018-11-03 11:27:56.832']
['2018-11-14 02:21:24.000' '2018-11-14 05:28:00.720']
['2018-11-16 05:57:24.778' '2018-11-16 09:04:01.498']
['2018-11-29 03:33:29.443' '2018-11-29 06:40:06.163']
['2018-12-14 04:45:34.886' '2018-12-14 07:52:11.606']
['2018-12-27 02:21:39.552' '2018-12-27 05:28:16.272']
['2019-01-11 03:33:44.995' '2019-01-11 06:40:21.715']
